"","V1","V2","V3","lat","lon"
"12051","McGuireWoods LLP","Technical Operations Center Analyst","Richmond, VA",37.626617,-77.492834
"12052","Lidl","Marketing Analyst","Arlington, VA",37.283482,-77.294978
"12053","Granato Group","Counselor (Non-Licensed)","McLean, VA",38.935202,-77.18672
"12054","Stone Tower Winery","Wine Club & Assistant Tasting Room Manager","Leesburg, VA ",39.041987,-77.605404
"12055","CACI International Inc","FOREIGN LANGUAGE ANALYST - Dhivehi Job","Virginia",NA,NA
"12056","National Rural Utilities Cooperative Finance Corpo...","Economic Analyst","Dulles, VA",39.002125,-77.442066
"12057","MDA Information Systems LLC","SIGINT Geospatial Metadata Analyst","Charlottesville, VA",38.087663,-78.556765
"12058","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"12059","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"12060","PenFed Credit Union","Research Analyst I","Alexandria, VA",38.80484,-77.04692
"12061","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"12062","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"12063","ProActive Technologies Inc.","Data Entry Operator II","Quantico, VA",38.52602,-77.322803
"12064","Goldbelt, Inc.","DATA ENTRY OPERATOR II","Newport News, VA",37.058296,-76.463471
"12065","Grant Thornton","Health Systems Analyst","Alexandria, VA  ",38.80484,-77.04692
"12066","McGuireWoods LLP","Technical Operations Center Analyst","Richmond, VA",37.626617,-77.492834
"12067","Capital One","Data Warehouse and Reporting Technical Specialist","Richmond, VA",37.626617,-77.492834
"12068","ALQIMI","Systems/Software Analyst I","Springfield, VA",38.704562,-78.446119
"12069","Booz Allen Hamilton","Video / Voice / Data Business Lead","Herndon, VA",38.983887,-77.367457
"12070","Booz Allen Hamilton","Business Systems Analyst, Junior","Herndon, VA",38.983887,-77.367457
